Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1961","1961","kg","2.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1962","1962","kg","2.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1963","1963","kg","4.79","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1964","1964","kg","6.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1965","1965","kg","7.11","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1966","1966","kg","7.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1967","1967","kg","7.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1968","1968","kg","7.49","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1969","1969","kg","7.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1970","1970","kg","6.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1971","1971","kg","7.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1972","1972","kg","8.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","1973","1973","kg","8.11","Fc","Calculated data"
