Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1961","1961","Head","33000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1961","1961","hg/An","415","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1961","1961","tonnes","1370000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1962","1962","Head","43000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1962","1962","hg/An","414","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1962","1962","tonnes","1780000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1963","1963","Head","78000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1963","1963","hg/An","423","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1963","1963","tonnes","3300000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1964","1964","Head","105000000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1964","1964","hg/An","429","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1964","1964","tonnes","4500000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1965","1965","Head","121670000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1965","1965","hg/An","431","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1965","1965","tonnes","5250000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1966","1966","Head","131870000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1966","1966","hg/An","432","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1966","1966","tonnes","5700000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1967","1967","Head","133780000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1967","1967","hg/An","448","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1967","1967","tonnes","6000000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1968","1968","Head","131140000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1968","1968","hg/An","450","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1968","1968","tonnes","5900000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1969","1969","Head","126200000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1969","1969","hg/An","452","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","1969","1969","tonnes","5700000","F","FAO estimate",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","1970","1970","Head","125930000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","1970","1970","hg/An","447","Fc","Calculated data",""
